ID,true_easting,true_northing,easting_off_grid3_se_corner,northing_off_grid3_se_corner
433,673358.9067,4147210.897,-66439.51926,48972.59393
434,680278.5992,4172812.792,-59519.8268,74574.48921
435,680367.931,4171276.61,-59430.49495,73038.30676
437,705550.065,4141462.312,-34248.36095,43224.00897
440,685140.9739,4147160.758,-54657.45211,48922.4554
444,685759.2643,4157905.436,-54039.16171,59667.13341
447,738172.5843,4115342.881,-1625.841683,17104.57833
448,667491.4838,4155077.145,-72306.94224,56838.84239
449,712104.3786,4104566,-27694.04745,6327.696586
450,658417.8993,4144328.247,-81380.52673,46089.94398
452,725631.9308,4122915.519,-14166.4952,24677.21582
453,725181.6484,4108992.049,-14616.77761,10753.74633
454,672783.1139,4147416.163,-67015.31208,49177.86028
456,717976.0171,4137775.596,-21822.40892,39537.29336
458,669436.4555,4145297.184,-70361.97053,47058.88104
459,718797.3752,4129411.584,-21001.05084,31173.28092
460,725310.7804,4122620.611,-14487.64557,24382.30768
461,703442.3964,4180733.304,-36356.02961,82495.001
462,665561.5836,4151286.288,-74236.84237,53047.98502
466,738396.3895,4117556.683,-1402.036459,19318.37961
467,677143.6259,4151206.874,-62654.80006,52968.57104
471,737264.4119,4116650.21,-2534.014078,18411.90701
472,667905.5212,4125597.396,-71892.90475,27359.09313
473,683652.27,4159495.463,-56146.15603,61257.15968
475,709489.594,4110196.082,-30308.83201,11957.77915
477,712152.544,4136827.484,-27645.88203,38589.18149
479,721806.7879,4119681.111,-17991.6381,21442.80817
481,654872.9234,4163361.415,-84925.50261,65123.11162
482,703694.0582,4117259.242,-36104.36779,19020.93921
483,688408.7704,4149131.826,-51389.65559,50893.52303
485,669786.8383,4166048.017,-70011.58768,67809.7145
486,707851.298,4131885.338,-31947.12795,33647.03531
487,724630.0201,4121966.742,-15168.40587,23728.4387
489,714840.2982,4149873.319,-24958.12779,51635.01648
490,729091.327,4102798.543,-10707.09901,4560.239823
492,719704.7028,4126030.848,-20093.72321,27792.54482
493,681490.9023,4161458.492,-58307.52367,63220.18925
494,680772.4581,4154463.372,-59025.96789,56225.06872
495,701656.805,4113990.162,-38141.62099,15751.85859
497,685913.4841,4098837.927,-53884.94191,599.6239993
499,712287.1311,4104683.606,-27511.2949,6445.303249
501,735282.3396,4114066.059,-4516.086402,15827.75598
502,675074.5378,4156008.262,-64723.88822,57769.95851
503,718345.1013,4153897.863,-21453.32474,55659.55975
504,719672.6915,4126084.906,-20125.73445,27846.60252
505,703829.0908,4116982.796,-35969.33522,18744.49252
506,701049.2032,4143122.931,-38749.22284,44884.62753
507,655455.8136,4136537.851,-84342.61238,38299.5477
508,734128.8905,4108457.719,-5669.535548,10219.41602
509,676547.524,4158417.029,-63250.90196,60178.72605
511,724463.8117,4131265.828,-15334.61427,33027.52485
512,735760.949,4111819.499,-4037.477005,13581.19597
513,678231.3829,4161900.053,-61567.04315,63661.75041
516,698211.3001,4139447.938,-41587.12594,41209.63548
517,652602.0548,4173994.967,-87196.37124,75756.66443
518,723239.3888,4122883.722,-16559.03717,24645.41889
519,706433.2996,4116164.155,-33365.12638,17925.85239
520,675039.9354,4161367.584,-64758.49063,63129.281
521,679546.3501,4155785.381,-60252.07587,57547.07792
522,669257.9157,4161103.948,-70540.51034,62865.64482
523,723032.6302,4125276.578,-16765.79579,27038.27462
524,707535.3,4130739.434,-32263.12601,32501.13109
525,721713.8985,4121011.696,-18084.52747,22773.39293
526,663309.7585,4167725.486,-76488.66753,69487.18329
530,681428.9365,4161434.862,-58369.48947,63196.55929
534,702712.4701,4125452.096,-37085.9559,27213.79286
535,703413.4442,4125812.973,-36384.98184,27574.66987
537,708376.1719,4133363.462,-31422.25414,35125.15878
540,708340.9479,4131503.222,-31457.47807,33264.91864
541,681709.2062,4146367.065,-58089.21979,48128.76205
542,721400.6161,4123723.283,-18397.80987,25484.97969
543,670136.1616,4138975.904,-69662.26436,40737.60064
544,703510.826,4116091.871,-36287.60005,17853.56817
545,712776.245,4138603.673,-27022.18103,40365.36995
546,658258.8294,4141533.964,-81539.59661,43295.66119
547,683619.309,4154391.616,-56179.11704,56153.31262
548,660756.8638,4136713.239,-79041.56223,38474.9364
550,711131.7548,4124154.731,-28666.67124,25916.42777
